study	study_short	condition	organism	replicate_idx	replicate_label	row_type	classifier	reads	bases	dna_pg	dna_basis	reads_per_fg	bases_per_fg	verified	source	source_detail	provenance_note
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli lenticule discs extract	Escherichia coli	1	rep 2 / Escherichia coli	sample	published	3		10	stated_input_mass	0.0003		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E4 (= Basapathi Raghavendra et al. 2023 Table 2), J4	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 3 vs our Kraken2 minQ10 2 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli lenticule discs extract	Escherichia coli	2	rep 3 / Escherichia coli	sample	kraken2_q10	13	30751	10	stated_input_mass	0.0013	3.0751	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H5/I5/J5; fastq_pass file ANR193_pass_5181599a_4b0ad359_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 13 pass reads where the paper's Table 2 reports 1. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 313.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli lenticule discs extract	Escherichia coli	2	rep 3 / Escherichia coli	sample	published	1		10	stated_input_mass	0.0001		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E5 (= Basapathi Raghavendra et al. 2023 Table 2), J5	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 1 vs our Kraken2 minQ10 13 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of YSC-2 yeast extract	Saccharomyces cerevisiae	0	rep 1 / Saccharomyces cerevisiae	sample	kraken2_q10	11	27856	10	stated_input_mass	0.0011	2.7856	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H6/I6/J6; fastq_pass file ANR915_pass_9147095f_57891227_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 11 pass reads where the paper's Table 2 reports 4. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 337.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of YSC-2 yeast extract	Saccharomyces cerevisiae	0	rep 1 / Saccharomyces cerevisiae	sample	published	4		10	stated_input_mass	0.0004		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E6 (= Basapathi Raghavendra et al. 2023 Table 2), J6	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 4 vs our Kraken2 minQ10 11 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of YSC-2 yeast extract	Saccharomyces cerevisiae	1	rep 2 / Saccharomyces cerevisiae	sample	kraken2_q10	2	8114	10	stated_input_mass	0.0002	0.8114	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H7/I7/J7; fastq_pass file ANQ439_pass_14b5c719_82187b38_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 2 pass reads where the paper's Table 2 reports 4. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 37.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of YSC-2 yeast extract	Saccharomyces cerevisiae	1	rep 2 / Saccharomyces cerevisiae	sample	published	4		10	stated_input_mass	0.0004		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E7 (= Basapathi Raghavendra et al. 2023 Table 2), J7	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 4 vs our Kraken2 minQ10 2 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of YSC-2 yeast extract	Saccharomyces cerevisiae	2	rep 3 / Saccharomyces cerevisiae	sample	kraken2_q10	2	2379	10	stated_input_mass	0.0002	0.2379	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H8/I8/J8; fastq_pass file ANP378_pass_301b7512_72027704_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 2 pass reads where the paper's Table 2 reports 2. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 190.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of YSC-2 yeast extract	Saccharomyces cerevisiae	2	rep 3 / Saccharomyces cerevisiae	sample	published	2		10	stated_input_mass	0.0002		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E8 (= Basapathi Raghavendra et al. 2023 Table 2), J8	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 2 vs our Kraken2 minQ10 2 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli + 2 pg of S. cerevisiae	Escherichia coli	0	rep 1 / Escherichia coli	sample	kraken2_q10	2	1104	10	stated_input_mass	0.0002	0.1104	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H9/I9/J9; fastq_pass file APM812_pass_b4817b78_5e181096_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 2 pass reads where the paper's Table 3 reports 2. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 411.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli + 2 pg of S. cerevisiae	Escherichia coli	0	rep 1 / Escherichia coli	sample	published	2		10	stated_input_mass	0.0002		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E9 (= Basapathi Raghavendra et al. 2023 Table 3), J9	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 2 vs our Kraken2 minQ10 2 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli + 2 pg of S. cerevisiae	Saccharomyces cerevisiae	1	rep 1 / Saccharomyces cerevisiae	sample	kraken2_q10	2	1779	2	stated_input_mass	0.001	0.8895	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H10/I10/J10; fastq_pass file APM812_pass_b4817b78_5e181096_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 2 pass reads where the paper's Table 3 reports 2. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 411.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli + 2 pg of S. cerevisiae	Saccharomyces cerevisiae	1	rep 1 / Saccharomyces cerevisiae	sample	published	2		2	stated_input_mass	0.001		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E10 (= Basapathi Raghavendra et al. 2023 Table 3), J10	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 2 vs our Kraken2 minQ10 2 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli + 2 pg of S. cerevisiae	Escherichia coli	2	rep 2 / Escherichia coli	sample	kraken2_q10	32	29379	10	stated_input_mass	0.0032	2.9379	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H11/I11/J11; fastq_pass file AQD920_pass_60a8e58c_0522ae15_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 32 pass reads where the paper's Table 3 reports 120. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 1180.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli + 2 pg of S. cerevisiae	Escherichia coli	2	rep 2 / Escherichia coli	sample	published	120		10	stated_input_mass	0.012		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E11 (= Basapathi Raghavendra et al. 2023 Table 3), J11	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 120 vs our Kraken2 minQ10 32 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli + 2 pg of S. cerevisiae	Saccharomyces cerevisiae	3	rep 2 / Saccharomyces cerevisiae	sample	kraken2_q10	157	73040	2	stated_input_mass	0.0785	36.52	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H12/I12/J12; fastq_pass file AQD920_pass_60a8e58c_0522ae15_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 157 pass reads where the paper's Table 3 reports 17. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 1180.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli + 2 pg of S. cerevisiae	Saccharomyces cerevisiae	3	rep 2 / Saccharomyces cerevisiae	sample	published	17		2	stated_input_mass	0.0085		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E12 (= Basapathi Raghavendra et al. 2023 Table 3), J12	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 17 vs our Kraken2 minQ10 157 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of S. cerevisiae + 2 pg of E. coli	Escherichia coli	0	rep 1 / Escherichia coli	sample	kraken2_q10	29	39088	2	stated_input_mass	0.0145	19.544	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H13/I13/J13; fastq_pass file APU620_pass_3e0bfa22_1e2b9d5d_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 29 pass reads where the paper's Table 3 reports 88. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 2110.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of S. cerevisiae + 2 pg of E. coli	Escherichia coli	0	rep 1 / Escherichia coli	sample	published	88		2	stated_input_mass	0.044		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E13 (= Basapathi Raghavendra et al. 2023 Table 3), J13	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 88 vs our Kraken2 minQ10 29 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of S. cerevisiae + 2 pg of E. coli	Saccharomyces cerevisiae	1	rep 1 / Saccharomyces cerevisiae	sample	kraken2_q10	136	120186	10	stated_input_mass	0.0136	12.0186	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H14/I14/J14; fastq_pass file APU620_pass_3e0bfa22_1e2b9d5d_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 136 pass reads where the paper's Table 3 reports 243. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 2110.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of S. cerevisiae + 2 pg of E. coli	Saccharomyces cerevisiae	1	rep 1 / Saccharomyces cerevisiae	sample	published	243		10	stated_input_mass	0.0243		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E14 (= Basapathi Raghavendra et al. 2023 Table 3), J14	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 243 vs our Kraken2 minQ10 136 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of S. cerevisiae + 2 pg of E. coli	Escherichia coli	2	rep 2 / Escherichia coli	sample	kraken2_q10	35	35244	2	stated_input_mass	0.0175	17.622	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H15/I15/J15; fastq_pass file APN068_pass_0a186932_3420adab_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 35 pass reads where the paper's Table 3 reports 78. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 4700.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of S. cerevisiae + 2 pg of E. coli	Escherichia coli	2	rep 2 / Escherichia coli	sample	published	78		2	stated_input_mass	0.039		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E15 (= Basapathi Raghavendra et al. 2023 Table 3), J15	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 78 vs our Kraken2 minQ10 35 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of S. cerevisiae + 2 pg of E. coli	Saccharomyces cerevisiae	3	rep 2 / Saccharomyces cerevisiae	sample	kraken2_q10	10	3856	10	stated_input_mass	0.001	0.3856	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H16/I16/J16; fastq_pass file APN068_pass_0a186932_3420adab_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 10 pass reads where the paper's Table 3 reports 263. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 4700. The paper's value of 263 appears to be a transcription error: 263 is the TOTAL number of reads in that file, not the number assigned to the target organism.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of S. cerevisiae + 2 pg of E. coli	Saccharomyces cerevisiae	3	rep 2 / Saccharomyces cerevisiae	sample	published	263		10	stated_input_mass	0.0263		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E16 (= Basapathi Raghavendra et al. 2023 Table 3), J16	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 263 vs our Kraken2 minQ10 10 for the same file. The paper's 263 is almost certainly a typo for the file's total read count.
